c1_index,c2_index,c3_index,c4_index,c5_index,c6_index,c7_index,c8_index,avg_time
39561,31144,37423,41421,35639,28891,39188,35625,53963.380178127714
39930,31437,37774,41808,35978,29162,39557,35961,54445.21533280585
40257,31697,38085,42150,36277,29403,39883,36258,54870.78784611935
40613,31980,38422,42520,36600,29665,40235,36580,55331.3906382337
40870,32183,38665,42788,36833,29853,40490,36813,55664.712514157014
41187,32436,38966,43120,37124,30088,40804,37103,56078.05678270555
41581,32748,39339,43528,37481,30377,41195,37458,56588.457618737084
42016,33092,39751,43978,37873,30696,41625,37851,57152.71458694723
42555,33519,40263,44537,38360,31091,42159,38338,57858.23904383136
42907,33798,40598,44903,38678,31349,42507,38655,58320.10971643614
43398,34186,41063,45412,39122,31707,42994,39097,58968.16178548154
43578,34329,41234,45598,39283,31838,43172,39260,59205.97639323154
43965,34635,41600,45999,39632,32122,43554,39608,59721.72044403899
44319,34914,41937,46364,39952,32382,43905,39927,60196.834108766634
44943,35405,42527,47005,40510,32836,44521,40488,61039.287425810166
45289,35677,42853,47360,40819,33089,44863,40799,61511.3899823665
45762,36048,43301,47848,41241,33433,45330,41224,62161.60337613328
46043,36269,43566,48140,41493,33637,45608,41478,62551.460008178954
46436,36578,43940,48548,41845,33924,45999,41833,63104.356271279496
46572,36685,44070,48689,41966,34024,46133,41955,63295.42237290756
46858,36909,44339,48984,42219,34232,46416,42212,63701.000741368436
47100,37099,44569,49234,42433,34409,46656,42428,64047.461349542195
47525,37431,44972,49673,42808,34721,47081,42811,64664.86487404785
47926,37743,45349,50089,43159,35013,47479,43169,65253.36416911596
48577,38247,45961,50765,43727,35486,48125,43750,66222.42874345003
48974,38554,46333,51180,44073,35774,48517,44104,66816.86984680002
49403,38886,46737,51633,44448,36085,48942,44489,67466.38489972953
50093,39418,47389,52365,45048,36584,49626,45106,68515.85081037442
50412,39663,47692,52706,45326,36814,49942,45392,69003.8989741028
50787,39949,48047,53104,45653,37085,50312,45728,69577.31592056192
51142,40221,48383,53485,45964,37341,50664,46046,70123.73023326964
51576,40552,48796,53949,46342,37652,51093,46434,70790.43947561622
51790,40714,48997,54176,46527,37804,51304,46625,71116.3913926619
52292,41095,49470,54710,46963,38163,51797,47072,71887.78524027189
52601,41332,49764,55041,47234,38384,52102,47349,72366.36543635566
52920,41576,50066,55384,47512,38613,52416,47636,72861.13873180049
53305,41870,50430,55798,47844,38887,52794,47982,73457.78093069572
53561,42065,50672,56074,48066,39070,53046,48211,73855.62795374577
53800,42246,50898,56331,48273,39241,53280,48424,74226.97901772776
54200,42550,51274,56763,48621,39526,53672,48781,74850.9748468076
54650,42893,51700,57246,49010,39848,54111,49184,75553.41926616526
